Problem1-copilot-GPT-4.1-python (Python)
Input Size,Med (ns),Min (ns),Max (ns),Avg (ns),Std (ns),Time/n (ns),Actual Ratio,Expected Ratio,Big O,Real. Big O
"1,000",239274.14,234068.56,242686.04,238681.60,3414.95,239.274140,n/a,n/a,O(n),O(n)
"10,000",2126915.04,2101930.24,2627085.36,2214418.97,176262.08,212.691504,8.89,10.00,O(n),O(n)
"100,000",21496945.32,20901069.08,25427843.32,22161774.48,1484852.27,214.969453,10.11,10.00,O(n),O(n)
"1,000,000",219826881.62,214462802.52,221806112.56,218704649.73,2910612.94,219.826882,10.23,10.00,O(n),O(n)

Problem1-copilot-Claude-Sonnet-3.5-python (Python)
Input Size,Med (ns),Min (ns),Max (ns),Avg (ns),Std (ns),Time/n (ns),Actual Ratio,Expected Ratio,Big O,Real. Big O
"1,000",238944.42,234705.44,245506.28,239059.39,3463.48,238.944420,n/a,n/a,O(n),O(n)
"10,000",2139666.36,2101396.04,2726269.12,2201034.71,187360.41,213.966636,8.95,10.00,O(n),O(n)
"100,000",21767433.92,20980697.32,25353294.36,22040131.62,1321741.89,217.674339,10.17,10.00,O(n),O(n)
"1,000,000",220953096.44,215702420.32,222670937.76,219916783.61,2840614.52,220.953096,10.15,10.00,O(n),O(n)

Problem2-copilot-GPT-4.1-python (Python)
Input Size,Med (ns),Min (ns),Max (ns),Avg (ns),Std (ns),Time/n (ns),Actual Ratio,Expected Ratio,Big O,Real. Big O
30,38544.28,37828.00,65472.92,41872.98,8494.48,1284.809333,n/a,n/a,O(nk),O(n)
300,246870.92,245343.68,347615.20,257601.83,31742.08,822.903067,6.40,10.00,O(nk),O(n)
"3,000",2354185.74,2318844.72,2967291.48,2472019.54,242984.74,784.728580,9.54,10.00,O(nk),O(n)

Problem2-copilot-Claude-Sonnet-3.5-python (Python)
Input Size,Med (ns),Min (ns),Max (ns),Avg (ns),Std (ns),Time/n (ns),Actual Ratio,Expected Ratio,Big O,Real. Big O
30,36504.98,35177.48,40202.72,36930.56,1657.93,1216.832667,n/a,n/a,O(nk),O(n)
300,246446.70,242504.04,275169.52,248310.80,9596.73,821.489000,6.75,10.00,O(nk),O(n)
"3,000",2311137.16,2294929.44,2898222.68,2375334.68,186075.71,770.379053,9.38,10.00,O(nk),O(n)

Problem3-copilot-GPT-4.1-python (Python)
Input Size,Med (ns),Min (ns),Max (ns),Avg (ns),Std (ns),Time/n (ns),Actual Ratio,Expected Ratio,Big O,Real. Big O
50,33117.38,31065.64,50566.24,37179.47,7050.62,662.347600,n/a,n/a,"O(log(min(n, m)))",O(n)
500,317873.32,221109.36,482814.16,332403.54,96668.51,635.746640,9.60,10.00,"O(log(min(n, m)))",O(n)
